1,38.786419,-77.28459,google maps,Burke-01,map 
2,38.786032,-77.28906,google maps,Burke-02,map 
3,38.785299,-77.29324,google maps,Burke-03,map 
4,38.7801,-77.29167,google maps,Burke-04,map 
5,38.781693,-77.28476,google maps,Burke-05,map 
6,38.734081,-77.119092,google maps,Burke-06,map 
7,38.785847,-77.201414,google maps,Burke-07,map 
8,38.775405,-77.38755,google maps,Burke-08,map 
9,38.684134,-77.278357,google maps,Burke-09,map 
10,38.833219,-77.424811,google maps,Burke-10,map 
11,38.826979,-77.205101,google maps,Burke-11,map 
12,38.875178,-77.180777,google maps,Burke-12,map 
13,38.870311,-77.129626,google maps,Burke-13,map 
14,38.917092,-77.26591,google maps,Burke-14,map 
15,38.777282,-77.177979,google maps,Burke-15,map 
